pts_prelevement_original,pts_prelevement_normalise,classe_semantique_proposee,confiance,justification,decision_metier
S8 (Aval Ferme Agricole sidi kamel),s8 aval ferme agricole sidi kamel,indetermine,faible,aucun motif semantique robuste detecte,
S9 (Aval douar el fokra (sidi kamel),s9 aval douar el fokra sidi kamel,indetermine,faible,aucun motif semantique robuste detecte,
SAH_DOM1_R1,sah dom1 r1,indetermine,faible,aucun motif semantique robuste detecte,
SAT_DEC_PE1 (Puits youness CHOUA),sat dec pe1 puits youness choua,nappe_point_eau,moyenne,mention explicite de puits,
SAT_DOM_R2,sat dom r2,indetermine,faible,aucun motif semantique robuste detecte,
SAZ_DOM_R1,saz dom r1,indetermine,faible,aucun motif semantique robuste detecte,
SAZ_DOM_R2,saz dom r2,indetermine,faible,aucun motif semantique robuste detecte,
SBA_DOM1_R1 (EM),sba dom1 r1 em,indetermine,faible,aucun motif semantique robuste detecte,
SDK_DOM1_R2,sdk dom1 r2,indetermine,faible,aucun motif semantique robuste detecte,
SDR_PDOM_R1,sdr pdom r1,indetermine,faible,aucun motif semantique robuste detecte,
SDS_DOM1_R11,sds dom1 r11,indetermine,faible,aucun motif semantique robuste detecte,
SDS_DOM1_R3,sds dom1 r3,indetermine,faible,aucun motif semantique robuste detecte,
SEF_PDOM_R3 (E.M),sef pdom r3 e m,indetermine,faible,aucun motif semantique robuste detecte,
SHZ_DOM2_PE1 (Source Skhinate (Nakhla),shz dom2 pe1 source skhinate nakhla,source_pollution,moyenne,mention explicite de source,
SHZ_DOM2_PE2 (Source Barda),shz dom2 pe2 source barda,source_pollution,moyenne,mention explicite de source,
SHZ_DOM2_R3,shz dom2 r3,indetermine,faible,aucun motif semantique robuste detecte,
SHZ_DOM2_R4,shz dom2 r4,indetermine,faible,aucun motif semantique robuste detecte,
SHZ_DOM2_R5,shz dom2 r5,indetermine,faible,aucun motif semantique robuste detecte,
SHZ_DOM3_R1,shz dom3 r1,indetermine,faible,aucun motif semantique robuste detecte,
SHZ_DOM5_R1,shz dom5 r1,indetermine,faible,aucun motif semantique robuste detecte,
SJH_DOM1_R1 (EM),sjh dom1 r1 em,indetermine,faible,aucun motif semantique robuste detecte,
SMK_PDOM1_R2,smk pdom1 r2,indetermine,faible,aucun motif semantique robuste detecte,
SOURCE AMMES DECHQUONDA (BHL_PDOM_PE1),source ammes dechquonda bhl pdom pe1,source_pollution,moyenne,mention explicite de source,
STATION BAB MARZOUKA,station bab marzouka,station_qualite,moyenne,mention explicite de station,
Station EL kouchet,station el kouchet,station_qualite,moyenne,mention explicite de station,
Station Hajria,station hajria,station_qualite,moyenne,mention explicite de station,
TAHLA_DECH_PE1 (FORAGE IRE 1/509),tahla dech pe1 forage ire 1 509,nappe_point_eau,moyenne,mention explicite de forage,
TAM_PDS_R1,tam pds r1,indetermine,faible,aucun motif semantique robuste detecte,
TAZ_PDOM_R1,taz pdom r1,indetermine,faible,aucun motif semantique robuste detecte,
TAZ_PDOM_R5 (E.M),taz pdom r5 e m,indetermine,faible,aucun motif semantique robuste detecte,
TAZ_PDOM_R6,taz pdom r6,indetermine,faible,aucun motif semantique robuste detecte,
TAZ_PDOM_R9,taz pdom r9,indetermine,faible,aucun motif semantique robuste detecte,
THS_PDS_R1,ths pds r1,indetermine,faible,aucun motif semantique robuste detecte,
TIS_DEC_PE1 (MEHDI OUAZZANI),tis dec pe1 mehdi ouazzani,indetermine,faible,aucun motif semantique robuste detecte,
TMH_PDOM1_R1,tmh pdom1 r1,indetermine,faible,aucun motif semantique robuste detecte,
TNT_PDS_R6,tnt pds r6,indetermine,faible,aucun motif semantique robuste detecte,
TRL_DOM_R2,trl dom r2,indetermine,faible,aucun motif semantique robuste detecte,
Z_DECH_PE1 (FORAGE IRE 898/16 AIN BOUCHIBA),z dech pe1 forage ire 898 16 ain bouchiba,nappe_point_eau,moyenne,mention explicite de forage,
Z_DECH_PE2 (FORAGE IRE 12/517 AIN BOUCHIBA),z dech pe2 forage ire 12 517 ain bouchiba,nappe_point_eau,moyenne,mention explicite de forage,
Zaouiat Sidi Abdeslam,zaouiat sidi abdeslam,indetermine,faible,aucun motif semantique robuste detecte,
ZDA_PDOM_R1,zda pdom r1,indetermine,faible,aucun motif semantique robuste detecte,
ZOM_PDOM_R1,zom pdom r1,indetermine,faible,aucun motif semantique robuste detecte,
AMONT BARRAGE DE GARDE,amont barrage de garde,amont_barrage,haute,contient amont et barrage,
AMONT KENITRA,amont kenitra,indetermine,faible,aucun motif semantique robuste detecte,
AMONT STEP GHAFSAI,amont step ghafsai,station_pompage,moyenne,mention explicite de step,
AMONT STEP KENITRA,amont step kenitra,station_pompage,moyenne,mention explicite de step,
AMONT STEP KHEMISSET ,amont step khemisset,station_pompage,moyenne,mention explicite de step,
AMONT STEP MECHRAA BEL KSIRI,amont step mechraa bel ksiri,station_pompage,moyenne,mention explicite de step,
AMONT STEP TAOUNATE,amont step taounate,station_pompage,moyenne,mention explicite de step,
AVAL CONFLUENCE SEBOU-RDAT,aval confluence sebou rdat,indetermine,faible,aucun motif semantique robuste detecte,
AVAL DAR GUEDDARI,aval dar gueddari,indetermine,faible,aucun motif semantique robuste detecte,
AVAL REJET MEKNES,aval rejet meknes,rejet,haute,mention explicite de rejet,
AVAL REJET TIFELT,aval rejet tifelt,rejet,haute,mention explicite de rejet,
AVAL STEP AZROU,aval step azrou,station_pompage,moyenne,mention explicite de step,
AVAL STEP DAR GUEDDARI,aval step dar gueddari,station_pompage,moyenne,mention explicite de step,
AVAL STEP EL HAJEB,aval step el hajeb,station_pompage,moyenne,mention explicite de step,
AVAL STEP FES,aval step fes,station_pompage,moyenne,mention explicite de step,
AVAL STEP IFRANE,aval step ifrane,station_pompage,moyenne,mention explicite de step,
AVAL STEP IMOUZZER MARMOUCHA,aval step imouzzer marmoucha,station_pompage,moyenne,mention explicite de step,
AVAL STEP KARIAT BA MOHAMED,aval step kariat ba mohamed,station_pompage,moyenne,mention explicite de step,
AVAL STEP KHEMISSET ,aval step khemisset,station_pompage,moyenne,mention explicite de step,
AVAL STEP MECHRAA BEL KSIRI,aval step mechraa bel ksiri,station_pompage,moyenne,mention explicite de step,
AVAL STEP SIDI KACEM,aval step sidi kacem,station_pompage,moyenne,mention explicite de step,
AVAL STEP SIDI SLIMANE,aval step sidi slimane,station_pompage,moyenne,mention explicite de step,
AVAL STEP SIDI YAHYA EL GHARB,aval step sidi yahya el gharb,station_pompage,moyenne,mention explicite de step,
AVAL STEP TAHLA,aval step tahla,station_pompage,moyenne,mention explicite de step,
AVAL STEP TAOUNATE,aval step taounate,station_pompage,moyenne,mention explicite de step,
BARRAGE ALLAL EL FASSI (FOND),barrage allal el fassi fond,barrage,moyenne,mention explicite de barrage,
BARRAGE ALLAL EL FASSI (MILIEU),barrage allal el fassi milieu,barrage,moyenne,mention explicite de barrage,
BARRAGE ALLAL EL FASSI (SURFACE),barrage allal el fassi surface,barrage,moyenne,mention explicite de barrage,
BARRAGE ASFALOU (FOND),barrage asfalou fond,barrage,moyenne,mention explicite de barrage,
BARRAGE ASFALOU (MILIEU),barrage asfalou milieu,barrage,moyenne,mention explicite de barrage,
BARRAGE ASFALOU (SURFACE),barrage asfalou surface,barrage,moyenne,mention explicite de barrage,
BARRAGE BAB LOUTA (FOND),barrage bab louta fond,barrage,moyenne,mention explicite de barrage,
BARRAGE BAB LOUTA (MILIEU),barrage bab louta milieu,barrage,moyenne,mention explicite de barrage,
BARRAGE BAB LOUTA (SURFACE),barrage bab louta surface,barrage,moyenne,mention explicite de barrage,
BARRAGE BOUHOUDA (FOND),barrage bouhouda fond,barrage,moyenne,mention explicite de barrage,
BARRAGE BOUHOUDA (MILIEU),barrage bouhouda milieu,barrage,moyenne,mention explicite de barrage,
BARRAGE BOUHOUDA (SURFACE),barrage bouhouda surface,barrage,moyenne,mention explicite de barrage,
BARRAGE DE GARDE  (FOND),barrage de garde fond,barrage,moyenne,mention explicite de barrage,
BARRAGE DE GARDE  (SURFACE),barrage de garde surface,barrage,moyenne,mention explicite de barrage,
BARRAGE EL KANSRA (FOND),barrage el kansra fond,barrage,moyenne,mention explicite de barrage,
BARRAGE EL KANSRA (MILIEU),barrage el kansra milieu,barrage,moyenne,mention explicite de barrage,
BARRAGE EL KANSRA (SURFACE),barrage el kansra surface,barrage,moyenne,mention explicite de barrage,
BARRAGE EL WAHDA (FOND),barrage el wahda fond,barrage,moyenne,mention explicite de barrage,
BARRAGE EL WAHDA (MILIEU),barrage el wahda milieu,barrage,moyenne,mention explicite de barrage,
BARRAGE EL WAHDA (SURFACE),barrage el wahda surface,barrage,moyenne,mention explicite de barrage,
BARRAGE IDRISS 1ER (FOND),barrage idriss 1er fond,barrage,moyenne,mention explicite de barrage,
BARRAGE IDRISS 1ER (MILIEU),barrage idriss 1er milieu,barrage,moyenne,mention explicite de barrage,
BARRAGE IDRISS 1ER (SURFACE),barrage idriss 1er surface,barrage,moyenne,mention explicite de barrage,
BARRAGE M'DEZ (FOND),barrage m dez fond,barrage,moyenne,mention explicite de barrage,
BARRAGE M'DEZ (MILIEU),barrage m dez milieu,barrage,moyenne,mention explicite de barrage,
BARRAGE M'DEZ (SURFACE),barrage m dez surface,barrage,moyenne,mention explicite de barrage,
BARRAGE OULJET SOLTANE (FOND),barrage ouljet soltane fond,barrage,moyenne,mention explicite de barrage,
BARRAGE OULJET SOLTANE (MILIEU),barrage ouljet soltane milieu,barrage,moyenne,mention explicite de barrage,
BARRAGE OULJET SOLTANE (SURFACE),barrage ouljet soltane surface,barrage,moyenne,mention explicite de barrage,
BARRAGE SAHLA (FOND),barrage sahla fond,barrage,moyenne,mention explicite de barrage,
BARRAGE SAHLA (MILIEU),barrage sahla milieu,barrage,moyenne,mention explicite de barrage,
BARRAGE SAHLA (SURFACE),barrage sahla surface,barrage,moyenne,mention explicite de barrage,
BARRAGE SIDI ECHAHED (FOND),barrage sidi echahed fond,barrage,moyenne,mention explicite de barrage,
BARRAGE SIDI ECHAHED (MILIEU),barrage sidi echahed milieu,barrage,moyenne,mention explicite de barrage,
BARRAGE SIDI ECHAHED (SURFACE),barrage sidi echahed surface,barrage,moyenne,mention explicite de barrage,
DAYAT AOUA (SURFACE),dayat aoua surface,indetermine,faible,aucun motif semantique robuste detecte,
DAYAT FOUARATE,dayat fouarate,indetermine,faible,aucun motif semantique robuste detecte,
DAYAT SIDI BOUGHABA,dayat sidi boughaba,indetermine,faible,aucun motif semantique robuste detecte,
FORAGE ABD NBI BOUTABEQ,forage abd nbi boutabeq,nappe_point_eau,moyenne,mention explicite de forage,
FORAGE AFAQFAQ,forage afaqfaq,nappe_point_eau,moyenne,mention explicite de forage,
FORAGE AHMED GHARAS,forage ahmed gharas,nappe_point_eau,moyenne,mention explicite de forage,
FORAGE ATTO MILOUD,forage atto miloud,nappe_point_eau,moyenne,mention explicite de forage,
FORAGE BARRAGE DE GARDE,forage barrage de garde,barrage,moyenne,mention explicite de barrage,
FORAGE COLONEL ALLAM,forage colonel allam,nappe_point_eau,moyenne,mention explicite de forage,
FORAGE DOMAINE JAWHARA,forage domaine jawhara,nappe_point_eau,moyenne,mention explicite de forage,
FORAGE DRISS NAISSA (CDA 224 BEL KSIRI),forage driss naissa cda 224 bel ksiri,nappe_point_eau,moyenne,mention explicite de forage,
FORAGE FERME HADDADI ,forage ferme haddadi,nappe_point_eau,moyenne,mention explicite de forage,
FORAGE FERME HAJ MOUHCINE ,forage ferme haj mouhcine,nappe_point_eau,moyenne,mention explicite de forage,
FORAGE FERME HERATI,forage ferme herati,nappe_point_eau,moyenne,mention explicite de forage,
FORAGE FERME MED SQALI,forage ferme med sqali,nappe_point_eau,moyenne,mention explicite de forage,
FORAGE FERME ZNAIBER,forage ferme znaiber,nappe_point_eau,moyenne,mention explicite de forage,
FORAGE HUILERIE TALAA,forage huilerie talaa,nappe_point_eau,moyenne,mention explicite de forage,
FORAGE ONE Z.I KENITRA,forage one z i kenitra,nappe_point_eau,moyenne,mention explicite de forage,
FORAGE ONEP BEN AOUDA,forage onep ben aouda,nappe_point_eau,moyenne,mention explicite de forage,
FORAGE ONEP KSAIBIA,forage onep ksaibia,nappe_point_eau,moyenne,mention explicite de forage,
FORAGE SOCHATOUR,forage sochatour,nappe_point_eau,moyenne,mention explicite de forage,
FOUM KHNEG,foum khneg,indetermine,faible,aucun motif semantique robuste detecte,
LAGUNE MERJA ZARGA (SURFACE),lagune merja zarga surface,indetermine,faible,aucun motif semantique robuste detecte,
POINT RP1 AVAL TAZA,point rp1 aval taza,indetermine,faible,aucun motif semantique robuste detecte,
PONT KHENICHET,pont khenichet,indetermine,faible,aucun motif semantique robuste detecte,
PONT KROUMAN,pont krouman,indetermine,faible,aucun motif semantique robuste detecte,
PONT PORTUGAIS,pont portugais,indetermine,faible,aucun motif semantique robuste detecte,
PONT RS 302,pont rs 302,indetermine,faible,aucun motif semantique robuste detecte,
PT RP 21 (OUED BOUFEKRANE),pt rp 21 oued boufekrane,oued_riviere,haute,mention explicite d'oued,
PUITS ABD KADER BALLALA,puits abd kader ballala,nappe_point_eau,moyenne,mention explicite de puits,
PUITS AHMED JIRRARI,puits ahmed jirrari,nappe_point_eau,moyenne,mention explicite de puits,
PUITS AIN ASSOU,puits ain assou,nappe_point_eau,moyenne,mention explicite de puits,
PUITS AIN SKHOUNE,puits ain skhoune,nappe_point_eau,moyenne,mention explicite de puits,
PUITS AIT YADINE,puits ait yadine,nappe_point_eau,moyenne,mention explicite de puits,
PUITS ALLAL ZOUHRI,puits allal zouhri,nappe_point_eau,moyenne,mention explicite de puits,
PUITS AVAL BOULEMANE,puits aval boulemane,nappe_point_eau,moyenne,mention explicite de puits,
PUITS BACHEKAR HASSAN,puits bachekar hassan,nappe_point_eau,moyenne,mention explicite de puits,
PUITS BADIA SAHLI,puits badia sahli,nappe_point_eau,moyenne,mention explicite de puits,
PUITS BEN SMIME,puits ben smime,nappe_point_eau,moyenne,mention explicite de puits,
PUITS BRIQUETERIE,puits briqueterie,nappe_point_eau,moyenne,mention explicite de puits,
PUITS DAR BEL GHAZI,puits dar bel ghazi,nappe_point_eau,moyenne,mention explicite de puits,
PUITS DOUAR AIT BOUTAIB,puits douar ait boutaib,nappe_point_eau,moyenne,mention explicite de puits,
PUITS DOUAR BEL KOURA,puits douar bel koura,nappe_point_eau,moyenne,mention explicite de puits,
PUITS DOUAR OUERSEFAN,puits douar ouersefan,nappe_point_eau,moyenne,mention explicite de puits,
PUITS DOUAR TOUIZA,puits douar touiza,nappe_point_eau,moyenne,mention explicite de puits,
PUITS FERME BEN ALI (NOUVEAU) ,puits ferme ben ali nouveau,nappe_point_eau,moyenne,mention explicite de puits,
PUITS FERME BENNANI,puits ferme bennani,nappe_point_eau,moyenne,mention explicite de puits,
PUITS FERME ZNIBER SADEK,puits ferme zniber sadek,nappe_point_eau,moyenne,mention explicite de puits,
PUITS FOURRIERE,puits fourriere,nappe_point_eau,moyenne,mention explicite de puits,
PUITS GHOUAZI OUAZZAA,puits ghouazi ouazzaa,nappe_point_eau,moyenne,mention explicite de puits,
PUITS HABRI HADOU ,puits habri hadou,nappe_point_eau,moyenne,mention explicite de puits,
PUITS HRICHMANE,puits hrichmane,nappe_point_eau,moyenne,mention explicite de puits,
PUITS KBIR BOUTARTA,puits kbir boutarta,nappe_point_eau,moyenne,mention explicite de puits,
PUITS KHLIFI RAMOU,puits khlifi ramou,nappe_point_eau,moyenne,mention explicite de puits,
PUITS LABYAR (AIN DORRIJ),puits labyar ain dorrij,nappe_point_eau,moyenne,mention explicite de puits,
PUITS LAMSARA,puits lamsara,nappe_point_eau,moyenne,mention explicite de puits,
PUITS LAZZOU ABD WAHD,puits lazzou abd wahd,nappe_point_eau,moyenne,mention explicite de puits,
PUITS LHAMMANI BRAHIM,puits lhammani brahim,nappe_point_eau,moyenne,mention explicite de puits,
PUITS LOUTFI BENKAMLEH,puits loutfi benkamleh,nappe_point_eau,moyenne,mention explicite de puits,
PUITS MANSOUR CHERINI,puits mansour cherini,nappe_point_eau,moyenne,mention explicite de puits,
PUITS MOHAMED CHEHYMA,puits mohamed chehyma,nappe_point_eau,moyenne,mention explicite de puits,
PUITS MOHAMED HASSANI,puits mohamed hassani,nappe_point_eau,moyenne,mention explicite de puits,
PUITS ONEP AIN AICHA,puits onep ain aicha,nappe_point_eau,moyenne,mention explicite de puits,
PUITS ONEP GUIGUO,puits onep guiguo,nappe_point_eau,moyenne,mention explicite de puits,
PUITS RAS TABOUDA,puits ras tabouda,nappe_point_eau,moyenne,mention explicite de puits,
PUITS SOUK EL HAD (GHAFSAI),puits souk el had ghafsai,nappe_point_eau,moyenne,mention explicite de puits,
PUITS STATION DAR SALEM,puits station dar salem,nappe_point_eau,moyenne,mention explicite de puits,
SIDI MOKHFI,sidi mokhfi,indetermine,faible,aucun motif semantique robuste detecte,
SOURCE ABATTOIR,source abattoir,source_pollution,moyenne,mention explicite de source,
SOURCE AKBOUB ,source akboub,source_pollution,moyenne,mention explicite de source,
SOURCE AMMES DECHQUONDA ,source ammes dechquonda,source_pollution,moyenne,mention explicite de source,
SOURCE MASSEGAL,source massegal,source_pollution,moyenne,mention explicite de source,
SOURCE RAS EL AIN,source ras el ain,source_pollution,moyenne,mention explicite de source,
STATION AIN OUALI,station ain ouali,station_qualite,moyenne,mention explicite de station,
STATION AVAL GHAFSAI,station aval ghafsai,station_qualite,moyenne,mention explicite de station,
STATION AZIB SOLTANE,station azib soltane,station_qualite,moyenne,mention explicite de station,
STATION BAB MARZOUKA,station bab marzouka,station_qualite,moyenne,mention explicite de station,
STATION BAB OUENDER,station bab ouender,station_qualite,moyenne,mention explicite de station,
STATION BENI HAITEM,station beni haitem,station_qualite,moyenne,mention explicite de station,
STATION DAR EL ARSA,station dar el arsa,station_qualite,moyenne,mention explicite de station,
STATION EL KOUCHET,station el kouchet,station_qualite,moyenne,mention explicite de station,
STATION HAD KOURT,station had kourt,station_qualite,moyenne,mention explicite de station,
STATION HAJRIA,station hajria,station_qualite,moyenne,mention explicite de station,
STATION HAMMAM,station hammam,station_qualite,moyenne,mention explicite de station,
STATION PONT MECHRAA BEL KSIRI,station pont mechraa bel ksiri,station_qualite,moyenne,mention explicite de station,
STATION RP 26,station rp 26,station_qualite,moyenne,mention explicite de station,
STATION TABOUDA,station tabouda,station_qualite,moyenne,mention explicite de station,
ZAOUIAT SIDI ABDESLAM,zaouiat sidi abdeslam,indetermine,faible,aucun motif semantique robuste detecte,
